Statistics,Total Population,Total PIT Count,Homelessness per 10000,Unsheltered ,White Alone,Black Alone,Asian Alone,High School Graduate,Bachelors Degree,Unemployed,Living In Poverty,Married Couple Family,Male Householder,Female Householder,Single Parent Children,Median Household Income,Moved Within Same County,Moved From Different County,Moved From Different State,Moved From Abroad,Vacant Units,Actual Renters,30 Percent Income As Rent,Mon Housing Cost,Median Gross Rent,2-Person Household,4-Person Household,7-or-More Person Household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clementon ,"5,312",2,3.765060241,0,62.1%,20.9%,2.4%,42.6%,14.3%,3.0%,7.3%,40.1%,9.3%,11.0%,22.1%,"$62,917",2.6%,2.5%,0.0%,0.0%,5.3%,3.9%,32.4%,18.3%,"$1,247",25.4%,18.1%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collingswood ,"14,135",1,0.707463742,0,80.0%,12.7%,1.1%,21.7%,25.6%,5.8%,11.2%,39.0%,2.4%,8.7%,22.6%,"$78,909",3.2%,0.9%,2.8%,0.0%,5.4%,5.0%,25.6%,48.3%,,36.0%,10.1%,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbsboro ,"2,278",0,0,0,82.7%,2.3%,5.6%,39.2%,17.4%,4.8%,4.8%,56.7%,10.7%,9.0%,22.3%,"$93,103",0.6%,0.0%,0.0%,0.0%,5.8%,0.0%,8.5%,26.8%,"$1,422",36.5%,13.7%,3.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester Township,"65,812",41,6.229866894,1.4,68.2%,18.1%,4.4%,31.5%,22.8%,4.3%,6.4%,49.8%,5.3%,14.2%,32.1%,"$95,084",2.5%,1.0%,1.6%,0.0%,6.2%,9.0%,37.4%,46.3%,"$1,400",32.9%,13.8%,0.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucester City ,"11,435",0,0,0.7,75.8%,7.2%,5.0%,44.9%,10.9%,4.1%,11.1%,43.5%,12.6%,13.7%,40.1%,"$71,756",5.0%,1.9%,0.9%,0.1%,9.5%,12.0%,26.1%,30.2%,"$1,596",28.4%,17.4%,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddon ,"15,331",0,0,0,88.3%,3.3%,1.5%,18.1%,33.1%,6.8%,7.2%,41.8%,3.7%,8.9%,11.0%,"$112,352",2.0%,0.9%,0.8%,0.1%,5.8%,7.9%,20.4%,31.8%,"$1,711",29.1%,11.6%,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddonfield ,"12,456",1,0.802825947,0,90.2%,1.0%,1.3%,6.8%,37.2%,2.4%,2.3%,71.9%,1.8%,6.5%,8.7%,"$178,362",1.1%,0.6%,0.3%,0.0%,5.3%,3.5%,22.8%,23.2%,"$1,209",31.0%,25.9%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haddon Heights ,"7,484",0,0,0,94.7%,1.6%,1.2%,17.5%,35.5%,3.2%,1.6%,52.1%,5.4%,6.2%,28.3%,"$117,556",6.1%,0.3%,0.4%,0.0%,4.8%,6.6%,25.7%,18.2%,"$1,390",34.6%,11.0%,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi-Nella ,883,0,0,0,52.3%,14.8%,8.6%,46.5%,15.9%,4.1%,4.3%,27.6%,5.9%,22.4%,58.1%,"$64,423",8.9%,1.7%,0.6%,0.0%,5.4%,6.4%,36.7%,56.2%,$962,38.0%,8.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Springs ,"2,004",0,0,0,88.1%,3.9%,4.7%,24.9%,26.2%,3.1%,8.7%,55.0%,4.7%,6.6%,7.8%,"$113,500",1.1%,1.1%,0.0%,0.0%,6.5%,0.0%,29.3%,15.0%,"$1,087",22.9%,14.9%,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawnside ,"3,059",4,13.07616868,0,6.0%,78.0%,0.6%,36.8%,8.4%,7.1%,7.7%,32.8%,7.2%,23.4%,76.6%,"$74,250",2.8%,0.2%,5.9%,0.0%,5.1%,27.2%,8.7%,40.4%,"$1,179",26.0%,16.5%,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindenwold ,"21,337",8,3.74935558,4.1,36.4%,32.6%,3.2%,40.7%,13.5%,2.4%,17.4%,30.0%,5.7%,15.8%,37.1%,"$53,645",7.9%,0.5%,0.6%,0.3%,6.0%,3.3%,31.5%,56.5%,"$1,157",34.6%,12.9%,1.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia ,"4,342",0,0,0,64.4%,18.5%,7.8%,40.1%,23.6%,5.7%,4.7%,42.7%,4.1%,10.7%,32.9%,"$74,295",2.8%,0.5%,0.2%,0.4%,7.9%,1.8%,10.4%,60.6%,"$1,112",31.6%,17.9%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merchantville ,"3,800",0,0,0,62.3%,12.3%,2.6%,32.3%,19.7%,1.8%,15.5%,32.7%,7.7%,20.8%,52.1%,"$72,375",2.7%,3.7%,0.0%,0.0%,8.9%,9.9%,11.7%,44.5%,"$1,222",30.2%,11.6%,0.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Ephraim ,"4,638",1,2.156101768,0,87.0%,0.6%,0.0%,43.2%,14.7%,5.6%,7.2%,47.3%,1.2%,9.8%,28.8%,"$81,800",1.7%,1.8%,0.3%,0.0%,4.5%,0.0%,15.5%,23.6%,"$1,128",30.3%,10.5%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaklyn ,"3,937",0,0,0,85.7%,3.7%,1.4%,25.7%,26.1%,2.4%,8.2%,39.1%,3.2%,12.0%,18.1%,"$81,012",3.9%,2.5%,2.3%,0.0%,4.3%,5.9%,23.5%,51.8%,"$1,149",40.1%,11.3%,1.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsauken ,"36,984",2,0.540774389,3.4,34.5%,29.7%,8.3%,33.6%,15.4%,5.2%,12.8%,41.0%,9.2%,21.3%,53.0%,"$80,248",2.1%,0.5%,0.3%,0.0%,5.8%,5.9%,27.2%,39.4%,"$1,173",30.0%,17.4%,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Hill ,"10,698",2,1.869508319,0,55.8%,27.4%,3.9%,37.6%,15.3%,5.9%,12.2%,32.3%,3.7%,19.8%,65.9%,"$69,176",1.2%,0.4%,0.6%,0.0%,5.6%,9.5%,30.1%,35.3%,"$1,326",27.9%,11.1%,1.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runnemede ,"8,307",0,0,0,81.7%,7.6%,2.5%,38.9%,18.1%,5.3%,12.1%,42.4%,7.9%,10.8%,30.5%,"$85,700",3.2%,1.8%,0.4%,0.0%,8.2%,2.9%,29.1%,54.2%,"$1,108",35.2%,10.2%,1.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerdale ,"5,524",0,0,0,60.0%,29.5%,2.1%,32.3%,14.6%,5.9%,10.1%,42.1%,6.0%,14.3%,43.2%,"$83,778",0.9%,0.9%,0.2%,0.3%,2.2%,9.6%,5.3%,49.3%,"$1,109",28.4%,13.4%,0.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford ,"6,962",0,0,0,75.6%,7.1%,2.8%,33.0%,26.5%,3.5%,9.1%,53.6%,5.8%,11.0%,29.5%,"$89,200",1.0%,0.5%,0.0%,0.2%,1.2%,1.7%,19.2%,56.4%,,32.0%,13.9%,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavistock ,12,0,0,0,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,80.0%,20.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voorhees ,"30,876",0,0,0,65.3%,8.2%,19.0%,17.4%,31.2%,3.5%,7.0%,54.2%,3.6%,7.7%,14.4%,"$108,518",2.6%,3.1%,0.6%,1.7%,3.9%,7.5%,24.1%,21.3%,"$1,664",32.5%,17.5%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterford ,"10,411",1,0.960522524,0.7,86.1%,2.7%,2.4%,40.4%,15.8%,4.4%,8.4%,62.0%,6.9%,8.6%,23.6%,"$99,799",0.1%,0.0%,0.0%,0.0%,3.6%,13.7%,31.8%,27.6%,"$1,296",41.8%,12.7%,0.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winslow ,"39,854",67,16.81136147,0,47.7%,36.9%,3.4%,29.5%,17.6%,5.4%,11.4%,45.8%,7.3%,16.5%,41.7%,"$87,179",2.6%,0.7%,0.0%,0.0%,5.3%,2.0%,28.4%,39.8%,"$1,312",32.9%,13.1%,1.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlynne ,"2,904",0,0,0,27.7%,22.5%,7.4%,39.4%,9.6%,7.2%,15.5%,24.7%,17.8%,37.2%,76.2%,"$68,125",5.3%,0.8%,1.2%,2.1%,18.8%,0.0%,25.0%,36.9%,"$1,518",19.2%,14.2%,2.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,6.5%,5.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
